id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
72064;Train/aja_ee199920_osa_3_ud211.conllu;Rootsis on Lindströmi nimetatud ka reeturiks : muuta Rootsi koondis soomlastele haavatavaks , kuhu see kõlbab .;53;59;Rootsi;free;Rootsis on Lindströmi nimetatud ka reeturiks : muuta koondis soomlastele haavatavaks , kuhu see kõlbab .;100.0;100.0;100.0
72090;Dev/aja_luup200009_ud211.conllu;“ Mul oli sõber Värskast .;16;24;Värskast;free;“ Mul oli sõber .;100.0;100.0;100.0
72094;Train/aja_ee200110_osa_3_ud211.conllu;Ka kuuldub teatrimajast , et direktor Iljin on Monte-Carlo aktsionär või nõukogu liige .;47;58;Monte-Carlo;free;Ka kuuldub teatrimajast , et direktor Iljin on aktsionär või nõukogu liige .;100.0;100.0;100.0
72109;Train/aja_ee199920_osa_1_ud211.conllu;Mälli sõnul ei osanud Feer arvestada , et klimaatiliste ja sotsiaalsete tingimuste erinevusest tulenev mõju äriplaanile on nii oluline .;108;119;äriplaanile;free;Mälli sõnul ei osanud Feer arvestada , et klimaatiliste ja sotsiaalsete tingimuste erinevusest tulenev mõju on nii oluline .;100.0;100.0;100.0
72125;Train/tea_dr8047.conllu;Võimalusi ω-3-rasvhapete sisalduse suurendamiseks munades ja linnulihas;50;71;munades ja linnulihas;free;Võimalusi ω-3-rasvhapete sisalduse suurendamiseks ;100.0;100.0;100.0
72131;Train/tea_AA_05_6_ud211.conllu;Jäljeprotsessoris saavutatakse protsessori kõrge jõudlus käsutasemelise rööpsuse oskusliku ärakasutamise tõttu , mida toetab veel ka protsessori kõrge takteerimissagedus .;31;42;protsessori;free;Jäljeprotsessoris saavutatakse kõrge jõudlus käsutasemelise rööpsuse oskusliku ärakasutamise tõttu , mida toetab veel ka protsessori kõrge takteerimissagedus .;100.0;100.0;100.0
72133;Train/tea_AA_05_6_ud211.conllu;Jäljeprotsessoris saavutatakse protsessori kõrge jõudlus käsutasemelise rööpsuse oskusliku ärakasutamise tõttu , mida toetab veel ka protsessori kõrge takteerimissagedus .;133;144;protsessori;free;Jäljeprotsessoris saavutatakse protsessori kõrge jõudlus käsutasemelise rööpsuse oskusliku ärakasutamise tõttu , mida toetab veel ka kõrge takteerimissagedus .;100.0;100.0;100.0
72140;Train/aja_pm20001004_osa_4_ud211.conllu;Uuspõld ise tunnistab , et tunneb teatrist ja selle rutiinist puudust .;8;11;ise;free;Uuspõld tunnistab , et tunneb teatrist ja selle rutiinist puudust .;100.0;100.0;100.0
72154;Train/aja_horisont2000_osa_3_ud211.conllu;Tempo on tihti nii kiire , et pole aega oma tulemusi korralikult kontrollida ning ka lahti mõtestada .;40;43;oma;free;Tempo on tihti nii kiire , et pole aega tulemusi korralikult kontrollida ning ka lahti mõtestada .;100.0;100.0;100.0
72161;Train/tea_geofyysika.conllu;Need ebasünkroonsused tekitavad ebakõla sisetuuma ja vahevöö gravitatsioonilises tasakaalus ning nurkmomendi ümberjagunemise tasakaalustumise käigus .;40;148;sisetuuma ja vahevöö gravitatsioonilises tasakaalus ning nurkmomendi ümberjagunemise tasakaalustumise käigus;free;Need ebasünkroonsused tekitavad ebakõla .;100.0;100.0;100.0
72178;Train/aja_luup200106_osa_6_ud211.conllu;Iga päevaga risustab meie elektroonilist postkasti üha enam rämpspost ehk spämm .;21;25;meie;free;Iga päevaga risustab elektroonilist postkasti üha enam rämpspost ehk spämm .;100.0;100.0;100.0
72183;Dev/aja_ml200247_osa6_ud211.conllu;1960. a Brasiilias tapetud emase anakonda pikkus oli 8,45 m ja keha ümbermõõt 1,11 m .;0;41;1960. a Brasiilias tapetud emase anakonda;free;pikkus oli 8,45 m ja keha ümbermõõt 1,11 m .;100.0;100.0;100.0
72198;Train/aja_ee199920_osa_2_ud211.conllu;Eestlaste-venelaste suhete tuleviku pärast tüdrukud muret ei tunne .;0;19;Eestlaste-venelaste;free;suhete tuleviku pärast tüdrukud muret ei tunne .;100.0;100.0;100.0
72199;Train/aja_ee199920_osa_2_ud211.conllu;Eestlaste-venelaste suhete tuleviku pärast tüdrukud muret ei tunne .;0;26;Eestlaste-venelaste suhete;free;tuleviku pärast tüdrukud muret ei tunne .;100.0;100.0;100.0
72212;Train/aja_ee200110_osa_5_ud211.conllu;Konkurents arstide poolehoiu võitmiseks on tihe .;11;18;arstide;free;Konkurents poolehoiu võitmiseks on tihe .;100.0;100.0;100.0
72214;Train/aja_ee200110_osa_5_ud211.conllu;Konkurents arstide poolehoiu võitmiseks on tihe .;11;39;arstide poolehoiu võitmiseks;free;Konkurents on tihe .;100.0;100.0;100.0
72220;Train/aja_epl20061216_ud211.conllu;2040. aastaks sulab jää Põhja-Jäämeres .;24;38;Põhja-Jäämeres;free;2040. aastaks sulab jää .;100.0;100.0;100.0
72221;Dev/aja_ee199920_osa4_ud211.conllu;Tõelise arvamustevahetuse põhjustas film Komimaast , mis kätkes hiilgavat operaatoritööd , kauneid loodusvõtteid ja teravat allteksti .;41;50;Komimaast;free;Tõelise arvamustevahetuse põhjustas film , mis kätkes hiilgavat operaatoritööd , kauneid loodusvõtteid ja teravat allteksti .;100.0;100.0;100.0
72227;Train/aja_ee200110_osa_5_ud211.conllu;Kõigil valge müts peas , sinine kittel seljas , roheline kummipõll ees .;0;6;Kõigil;free;valge müts peas , sinine kittel seljas , roheline kummipõll ees .;100.0;100.0;100.0
72233;Train/aja_luup200202_osa_3_ud211.conllu;Igapäise administratiivse tegevuse käigus rajatakse haiglast lahkunute ja ravikindlustuse registrid .;52;60;haiglast;free;Igapäise administratiivse tegevuse käigus rajatakse lahkunute ja ravikindlustuse registrid .;100.0;100.0;100.0
72241;Train/aja_ml200247_osa_8_ud211.conllu;Sellepärast üritabki Kodukandi liikumine õhutada külasid külavanemaid valima .;21;30;Kodukandi;free;Sellepärast üritabki liikumine õhutada külasid külavanemaid valima .;100.0;100.0;100.0
72244;Train/aja_ee199920_osa_2_ud211.conllu;Kummalisel kombel aga saatis kaitsejõudude peastaap teate vaid kaitseministrile .;29;42;kaitsejõudude;free;Kummalisel kombel aga saatis peastaap teate vaid kaitseministrile .;100.0;100.0;100.0
72247;Train/aja_luup200202_osa_1_ud211.conllu;Kolmandaks tuletab Davosi foorum meelde , et kõige tähtsam on nn tasakaalustatud areng .;19;25;Davosi;free;Kolmandaks tuletab foorum meelde , et kõige tähtsam on nn tasakaalustatud areng .;100.0;100.0;100.0
72248;Train/aja_luup200202_osa_1_ud211.conllu;Kolmandaks tuletab Davosi foorum meelde , et kõige tähtsam on nn tasakaalustatud areng .;62;64;nn;free;Kolmandaks tuletab Davosi foorum meelde , et kõige tähtsam on tasakaalustatud areng .;100.0;100.0;100.0
72255;Train/ilu_kivirahk_ud211.conllu;Mõtted läksid Pierre'i näitusele .;14;22;Pierre'i;free;Mõtted läksid näitusele .;100.0;100.0;100.0
72265;Train/aja_ee200110_osa_2_ud211.conllu;Mehe asja ajab advokaat Timo Rajamäki , kelle sõnul on praegu küsimuse all lapse heaolu .;0;4;Mehe;free;asja ajab advokaat Timo Rajamäki , kelle sõnul on praegu küsimuse all lapse heaolu .;100.0;100.0;100.0
72286;Train/aja_luup200106_osa_4_ud211.conllu;Meie riik pole nii rikas , et igat pätti taga ajada .;0;4;Meie;free;riik pole nii rikas , et igat pätti taga ajada .;100.0;100.0;100.0
72289;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Nesiritiidil on südamepuudulikkusega haigete hemodünaamikale soodne toime : südame eelkoormus väheneb oluliselt , sellele osutab kopsuarteri kinnikiilumisrõhu ja parema koja rõhu vähenemine .;16;36;südamepuudulikkusega;free;Nesiritiidil on haigete hemodünaamikale soodne toime : südame eelkoormus väheneb oluliselt , sellele osutab kopsuarteri kinnikiilumisrõhu ja parema koja rõhu vähenemine .;100.0;100.0;100.0
72290;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Nesiritiidil on südamepuudulikkusega haigete hemodünaamikale soodne toime : südame eelkoormus väheneb oluliselt , sellele osutab kopsuarteri kinnikiilumisrõhu ja parema koja rõhu vähenemine .;16;44;südamepuudulikkusega haigete;free;Nesiritiidil on hemodünaamikale soodne toime : südame eelkoormus väheneb oluliselt , sellele osutab kopsuarteri kinnikiilumisrõhu ja parema koja rõhu vähenemine .;100.0;100.0;100.0
72296;Train/aja_ml200247_osa_1_ud211.conllu;See juhtus 1998 , kui meie endisel peaministril Mart Siimannil oli koos teiste Balti riikide peaministritega au lõunastada koos kuningannaga .;22;26;meie;free;See juhtus 1998 , kui endisel peaministril Mart Siimannil oli koos teiste Balti riikide peaministritega au lõunastada koos kuningannaga .;100.0;100.0;100.0
72304;Train/aja_ee200110_osa_7_ud211.conllu;Kuhu on kadunud slaavlaste oskus head teed keeta ?;16;26;slaavlaste;free;Kuhu on kadunud oskus head teed keeta ?;100.0;100.0;100.0
72305;Train/aja_pm20001004_osa_3_ud211.conllu;Freeman sörkis auringil Austraalia ja aborigeeni lippudega .;24;48;Austraalia ja aborigeeni;free;Freeman sörkis auringil lippudega .;100.0;100.0;100.0
72314;Train/aja_ee200110_osa_7_ud211.conllu;Tegelikult hoiab Leida oma tütart väga .;23;26;oma;free;Tegelikult hoiab Leida tütart väga .;100.0;100.0;100.0
72320;Train/aja_ee199920_osa_2_ud211.conllu;""" Kirjandite kirjutamisega on teinekord raskusi , ma ei oska alati kõiki oma mõtteid väljendada , aga siis kirjutan nii , nagu oskan , "" ütleb Tanja .";2;12;Kirjandite;free;""" kirjutamisega on teinekord raskusi , ma ei oska alati kõiki oma mõtteid väljendada , aga siis kirjutan nii , nagu oskan , "" ütleb Tanja .";100.0;100.0;100.0
72321;Train/aja_ee199920_osa_2_ud211.conllu;""" Kirjandite kirjutamisega on teinekord raskusi , ma ei oska alati kõiki oma mõtteid väljendada , aga siis kirjutan nii , nagu oskan , "" ütleb Tanja .";73;76;oma;free;""" Kirjandite kirjutamisega on teinekord raskusi , ma ei oska alati kõiki mõtteid väljendada , aga siis kirjutan nii , nagu oskan , "" ütleb Tanja .";100.0;100.0;100.0
72323;Train/aja_pm20000218_osa_5_ud211.conllu;Rahapesuga võitlemise spetsialist tunnistas end rahapesus süüdi;0;21;Rahapesuga võitlemise;free;spetsialist tunnistas end rahapesus süüdi;100.0;100.0;100.0
72330;Train/aja_pm20001004_osa_1_ud211.conllu;Tänu avanenud võimalustele pääseda Stockholmi Kuningliku Raamatukogu ja Uppsala ülikooli raamatukogu fondidesse on meie senised teadmised Academia Gustaviana väljaannete kohta täienenud ning ülikool on saanud sealt koopiaid .;138;175;Academia Gustaviana väljaannete kohta;free;Tänu avanenud võimalustele pääseda Stockholmi Kuningliku Raamatukogu ja Uppsala ülikooli raamatukogu fondidesse on meie senised teadmised täienenud ning ülikool on saanud sealt koopiaid .;100.0;100.0;100.0
72356;Train/aja_luup200106_osa_4_ud211.conllu;Kõik see nõuab politseilt umbes 3 miljonit krooni lisa .;26;49;umbes 3 miljonit krooni;free;Kõik see nõuab politseilt lisa .;100.0;100.0;100.0
72371;Train/aja_ee199920_osa_2_ud211.conllu;Kuigi kõik esinejad on paljad nagu porgandid , ei puudu peolt siiski kaunid ja värviküllased Eesti rahvarõivad .;93;98;Eesti;free;Kuigi kõik esinejad on paljad nagu porgandid , ei puudu peolt siiski kaunid ja värviküllased rahvarõivad .;100.0;100.0;100.0
72401;Train/aja_pm20001004_osa_3_ud211.conllu;Harju maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;0;5;Harju;free;maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;100.0;100.0;100.0
72402;Train/aja_pm20001004_osa_3_ud211.conllu;Harju maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;0;18;Harju maavalitsuse;free;pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;100.0;100.0;100.0
72404;Train/aja_pm20001004_osa_3_ud211.conllu;Harju maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;67;71;TOPi;free;Harju maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;100.0;100.0;100.0
