id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
36667;Train/arborest_ud211.conllu;Sõmera toetab plaani viia umbes viiendik telekomi aktsiatest börsile ületuleval aastal .;21;86;viia umbes viiendik telekomi aktsiatest börsile ületuleval aastal;free;Sõmera toetab plaani .;100.0;100.0;100.0
36669;Train/aja_epl20061216_ud211.conllu;Keset steppi asuvas Astanas langeb talviti temperatuur -30 kraadini .;0;19;Keset steppi asuvas;free;Astanas langeb talviti temperatuur -30 kraadini .;100.0;100.0;100.0
36677;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Meditsiini areng on toonud pöörde mitme varem paratamatult fataalseks peetud haiguse ravisse .;40;76;varem paratamatult fataalseks peetud;free;Meditsiini areng on toonud pöörde mitme haiguse ravisse .;100.0;100.0;100.0
36682;Train/tea_toohoive.conllu;"Nimetatud "" ülekandemehhanismide "" uurimine peaks andma täiendavalt alust hinnata võimalikke arenguid tööturul ka ettevaatavalt .";0;9;Nimetatud;free;""" ülekandemehhanismide "" uurimine peaks andma täiendavalt alust hinnata võimalikke arenguid tööturul ka ettevaatavalt .";100.0;100.0;100.0
36684;Train/tea_geofyysika.conllu;Enamus teaduse ajalukku läinud vanakreeka kuulsusi on elanud sellel ajal .;7;30;teaduse ajalukku läinud;free;Enamus vanakreeka kuulsusi on elanud sellel ajal .;100.0;100.0;100.0
36687;Train/aja_ee199920_osa_3_ud211.conllu;20 miljonit sakslast ja sama palju turiste ei näeks muu hulgas universumi kärjekujulist ehitust kujutavat Eesti paviljoni ega maalilisi pilte meie rabamaastikest .;63;105;universumi kärjekujulist ehitust kujutavat;free;20 miljonit sakslast ja sama palju turiste ei näeks muu hulgas Eesti paviljoni ega maalilisi pilte meie rabamaastikest .;100.0;100.0;100.0
36693;Train/aja_ee200110_osa_2_ud211.conllu;Selleks , et oleks lootust leida näiteks kasvajate teket taganttõukavaid geenikombinatsioone , peaks miljon Eestimaa inimest nõustuma oma andmed loodavasse andmebaasi loovutama .;33;72;näiteks kasvajate teket taganttõukavaid;free;Selleks , et oleks lootust leida geenikombinatsioone , peaks miljon Eestimaa inimest nõustuma oma andmed loodavasse andmebaasi loovutama .;100.0;100.0;100.0
36697;Train/aja_ee199920_osa_2_ud211.conllu;Looduslikule toidule orienteeritud tarbijad maksavad meelsasti kõrgemat hinda toiduainete eest , mis ei ole keemiliselt töödeldud ega läbi teinud geenitehnoloogilisi muudatusi .;0;34;Looduslikule toidule orienteeritud;free;tarbijad maksavad meelsasti kõrgemat hinda toiduainete eest , mis ei ole keemiliselt töödeldud ega läbi teinud geenitehnoloogilisi muudatusi .;100.0;100.0;100.0
36698;Train/arborest_ud211.conllu;Kas on mõtet üldse müüa ?;13;23;üldse müüa;free;Kas on mõtet ?;100.0;100.0;100.0
36703;Train/aja_pm19980926e_ud211.conllu;Kohtasime ameeriklannat , kes oli visalt avaldanud soovi Iraani sõita ja talle antigi viisa .;57;69;Iraani sõita;free;Kohtasime ameeriklannat , kes oli visalt avaldanud soovi ja talle antigi viisa .;100.0;100.0;100.0
36718;Train/aja_ee200110_osa_10_ud211.conllu;See on hea küsimus ja seda võiks küsida Dennis Pennise karakteri loonud koomikult Paul Kaye'ilt .;40;71;Dennis Pennise karakteri loonud;free;See on hea küsimus ja seda võiks küsida koomikult Paul Kaye'ilt .;100.0;100.0;100.0
36724;Train/aja_ee199920_osa_2_ud211.conllu;Läbi lastehaiguste ja kalliks läinud õppetundide on need ülesanded täidetud .;22;36;kalliks läinud;free;Läbi lastehaiguste ja õppetundide on need ülesanded täidetud .;100.0;100.0;100.0
36739;Dev/ilu_orlau_ud211.conllu;Korraga kostus summutatud hääl , algul ainult aimatav , siis tugevam ja selgem ... ning lõpuks hirmukarjatus , mis katkes järsult , nagu oleks liiv selle lämmatanud .;31;78;, algul ainult aimatav , siis tugevam ja selgem;free;Korraga kostus summutatud hääl ... ning lõpuks hirmukarjatus , mis katkes järsult , nagu oleks liiv selle lämmatanud .;100.0;100.0;100.0
36740;Train/aja_horisont2000_osa_5_ud211.conllu;Kehakeele ja kõnekeele kasutamise vahekord ning kehakeele märgistik erinevad kultuuriti õige oluliselt ning loodusrahvaste lugusid ja müüte üles tähendavad misjonärid on sageli jäädvustanud omaeneste väärarusaamu sellest keelest .;108;155;loodusrahvaste lugusid ja müüte üles tähendavad;free;Kehakeele ja kõnekeele kasutamise vahekord ning kehakeele märgistik erinevad kultuuriti õige oluliselt ning misjonärid on sageli jäädvustanud omaeneste väärarusaamu sellest keelest .;100.0;100.0;100.0
36748;Train/aja_pm19980926e_ud211.conllu;Maitstud 1996. aasta vein tekitas veidi kareda mulje .;0;8;Maitstud;free;1996. aasta vein tekitas veidi kareda mulje .;100.0;100.0;100.0
36750;Train/aja_ml200247_osa_4_ud211.conllu;See , et Rapla Dairy on lehmapidajatele kuude kaupa võlgu , pälvis laiemat tähelepanu alles siis , kui riik tahtis firmat juhtivale Afganistani eruohvitserile Jaqub Haidaryle eriliste teenete eest kodakondsuse kinkida .;4;59;, et Rapla Dairy on lehmapidajatele kuude kaupa võlgu ,;free;See pälvis laiemat tähelepanu alles siis , kui riik tahtis firmat juhtivale Afganistani eruohvitserile Jaqub Haidaryle eriliste teenete eest kodakondsuse kinkida .;100.0;100.0;100.0
36752;Train/aja_ee200110_osa_10_ud211.conllu;Kõnesolev kogu annab tooni ka vaadeldavas valimikus .;0;9;Kõnesolev;free;kogu annab tooni ka vaadeldavas valimikus .;100.0;100.0;100.0
