sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
12410790,0,8,Kristina,gen,"Kristina Shmiguni ahistas Holmenkollenis 30 km klassikatehnikasõidu lõpukilomeetritel kurnatus , ent viiendast kohast maailma karikasarja liidrirüü hoidmiseks piisas .",nsubj,"gen,prop,sg"
16715193,79,88,Torupilli,gen,"Küpsetamist-kaunistamist jätkub tegelikult aasta lõpuni : sel pühapäeval aitab Torupilli Selveris piparkooke teha ja valmis piparkoogimaja detaile kokku panna pagar , järgmisel pühapäeval on tal kaubamaja kodumaailmas abiks Pipi .",nsubj,"gen,prop,sg"
214160,22,28,laenu-,gen,"Kui 20. sajandi algul laenu- ja hoiuühistud aitasid vältida eestlaste hoiustevoolu Venemaale , siis 21. sajandi algul võiks neist abi olla hoiuste äravoolu takistamisel ääremaalt ettevõtluskeskustesse .",nsubj,"com,gen,sg"
225510,0,8,Tarkvara,gen,Tarkvara aitab jagu saada mitmes ametkonnas võidutsevast liigsest bürokraatiast .,nsubj,"com,gen,sg"
325158,21,25,kala,gen,"Praegu aitavad selle kala DNA-st saadud elektritaju- ja elektriimpulsiomadused ühendada tehiselundite sensoorsed ja motoorsed signaalid tehisnaha pinnaga , kust närvisiirded neid edasi toimetavad .",nsubj,"com,gen,sg"
478444,63,67,mina,gen,"Kui mu sõber aitab mul nii ja nii mitu head aktsiat omandada , mina aga aitan tal erastada teatud krundi , pole ju tegu sõprusega , vaid sõp-rust asendava tehinguga , seesuguse "" sõprusega "" , mille kohta Montesquieu ütles : "" Tihtipeale on sõprus vaid leping , mis sunnib meid teisele väikest teenet osutama lootuses vastu saada midagi kopsakamat . """,nsubj,"com,gen,sg"
547790,60,64,OSCE,,"Teiste aruteluteemade hulka kuulub tõnäoliselt Kosovo , kus OSCE on aidanud koolitada politseinikke , arendada seadusandlust ning vaba ajakirjandust .",nsubj,nominal
709753,0,6,Maali-,gen,Maali- ja teatrikunstnik ning graafik Peet Aren ( 29.06.1889-26.01. 1970 ) aitas pedagoogina oluliselt uuendada eesti teatri lavakujundust .,nsubj,"com,gen,sg"
804342,29,34,paju-,gen,Ehk aitavad kiirelt kasvavad paju- ja lepaistandikud täiendada tulevikus meie küttevarusid .,nsubj,"com,gen,sg"
1562637,51,57,põlve-,gen,""" Harrastusuisutaja liikumiskiiruse juures aitavad põlve- , käe- ja küünarnukikaitsmed aga vigastusi kindlasti vältida .",nsubj,"com,gen,sg"
1565926,35,40,Monte,,Väheste kogemustega Buttonil aitab Monte Carlo raja saladusi tundma õppida endine vormelisõitja Gerhard Berger .,nsubj,prop
1572712,22,27,ussi-,gen,"Edasi ei aita enam ei ussi- ega püssirohi . """,nsubj,"com,gen,sg"
1837507,74,79,ussi-,gen,Tallinna tänavaid ja haljasalasid reostavate koerte vastu pole aidanud ei ussi- ega püssirohi .,nsubj,"com,gen,sg"
